epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.589,1.17679,2.21845,1.27842,0.54921,0.70225,0.63707,0.43121,1.01846,2.25937,1.26267,0.00038341,0.00038341,0.00038341
2,133.321,1.17732,1.53655,1.32095,0.70849,0.63511,0.69644,0.39043,1.1605,2.10307,1.37325,0.000752464,0.000752464,0.000752464
3,198.841,1.21876,1.39246,1.29548,0.65901,0.54489,0.70169,0.3979,1.27372,2.16935,1.41942,0.00108983,0.00108983,0.00108983
4,265.511,1.19861,1.31905,1.30795,0.71276,0.75152,0.81286,0.44613,1.40726,1.88963,1.69028,0.00139551,0.00139551,0.00139551
5,336.914,1.20376,1.36433,1.28027,0.69571,0.71541,0.75484,0.46809,1.20688,1.91844,1.39379,0.00140295,0.00140295,0.00140295
6,409.49,1.20932,1.21976,1.31684,0.71145,0.70355,0.74811,0.41589,1.42047,1.86698,1.55004,0.00133693,0.00133693,0.00133693
7,482.964,1.20589,1.17206,1.28446,0.60377,0.69337,0.62456,0.31432,1.53045,2.08286,1.68708,0.00127092,0.00127092,0.00127092
8,556.589,1.1478,1.11172,1.25791,0.72471,0.80706,0.85277,0.51155,1.3236,1.52034,1.44216,0.00120491,0.00120491,0.00120491
9,630.236,1.12901,1.06594,1.2384,0.88718,0.82915,0.91131,0.54241,1.30393,1.32449,1.45654,0.00113889,0.00113889,0.00113889
10,702.911,1.17078,1.07159,1.29419,0.78959,0.88564,0.89653,0.51531,1.3382,1.2703,1.46236,0.00107288,0.00107288,0.00107288
11,776.644,1.09314,1.00152,1.22109,0.82866,0.89039,0.91625,0.59871,1.20463,1.10986,1.3566,0.00100687,0.00100687,0.00100687
12,849.622,1.06913,0.98355,1.21783,0.86955,0.92954,0.94628,0.60049,1.18549,0.96198,1.30724,0.000940855,0.000940855,0.000940855
13,923.553,1.10387,1.00285,1.24415,0.91245,0.90002,0.95547,0.64427,1.07247,0.88718,1.2717,0.000874842,0.000874842,0.000874842
14,1050.04,1.00597,0.87465,1.18203,0.90444,0.88415,0.93334,0.60232,1.14007,0.8908,1.2953,0.000808828,0.000808828,0.000808828
15,1215.25,1.04021,0.87149,1.192,0.88442,0.90315,0.93977,0.65095,1.05185,0.85071,1.238,0.000742815,0.000742815,0.000742815
16,1302.38,0.96062,1.00237,1.16697,0.88864,0.92848,0.96254,0.67853,1.09442,0.99339,1.25188,0.000676802,0.000676802,0.000676802
17,1374.01,0.92448,0.80222,1.1397,0.91068,0.9326,0.97079,0.68397,0.98019,1.04677,1.17921,0.000610789,0.000610789,0.000610789
18,1445.56,0.88125,0.75281,1.1049,0.9395,0.9305,0.96335,0.67896,1.07776,0.96081,1.23947,0.000544776,0.000544776,0.000544776
19,1517.87,0.85374,0.70083,1.0668,0.77115,0.84306,0.82865,0.56135,1.15508,1.26571,1.37291,0.000478762,0.000478762,0.000478762
20,1583.57,0.8587,0.66076,1.069,0.89271,0.94019,0.96906,0.66067,1.15774,0.91569,1.28784,0.000412749,0.000412749,0.000412749
21,1651.34,0.858,0.64282,1.07964,0.89216,0.91514,0.97011,0.68859,1.12535,0.9455,1.30727,0.000346736,0.000346736,0.000346736
22,1718,0.82872,0.62927,1.07695,0.92497,0.9538,0.97059,0.67357,1.10254,0.86043,1.25862,0.000280723,0.000280723,0.000280723
23,1785.22,0.77814,0.59133,1.03396,0.91799,0.96064,0.97425,0.69305,1.12443,0.85655,1.31576,0.00021471,0.00021471,0.00021471
24,1852.5,0.79673,0.66256,1.03046,0.95126,0.96131,0.97078,0.67309,1.07777,0.84871,1.25372,0.000148696,0.000148696,0.000148696
25,1919.65,0.76247,0.55234,1.01164,0.95603,0.95997,0.97663,0.6775,1.08125,0.81793,1.28477,8.26832e-05,8.26832e-05,8.26832e-05
