epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4269,1.08287,1.9674,1.40066,0.56902,0.73931,0.70759,0.41703,1.29264,1.516,1.64695,0.000550997,0.000550997,0.000550997
2,54.5091,1.18786,1.6154,1.46288,0.74245,0.6092,0.71588,0.40501,1.35417,1.45128,1.69254,0.00106284,0.00106284,0.00106284
3,80.1777,1.23962,1.53467,1.47761,0.63111,0.71012,0.71788,0.38238,1.53604,1.46178,1.87995,0.00153067,0.00153067,0.00153067
4,106.393,1.22128,1.43478,1.46839,0.68799,0.59187,0.70718,0.39848,1.28568,1.72219,1.6033,0.00146896,0.00146896,0.00146896
5,132.049,1.17829,1.36065,1.45293,0.71475,0.72581,0.77836,0.46834,1.25443,1.28308,1.54419,0.00140295,0.00140295,0.00140295
6,159.234,1.16935,1.28453,1.44211,0.62114,0.68527,0.70902,0.40546,1.34824,1.37678,1.63022,0.00133693,0.00133693,0.00133693
7,184.544,1.11418,1.20664,1.39865,0.76002,0.77607,0.84151,0.50445,1.27696,1.04672,1.55043,0.00127092,0.00127092,0.00127092
8,210.009,1.10468,1.14886,1.38257,0.77531,0.79586,0.85238,0.53614,1.19767,0.97923,1.50449,0.00120491,0.00120491,0.00120491
9,235.586,1.0825,1.13729,1.36902,0.77382,0.71321,0.78375,0.47354,1.28793,1.22625,1.54621,0.00113889,0.00113889,0.00113889
10,262.142,1.07349,1.08871,1.36316,0.82697,0.79726,0.87012,0.56608,1.07361,0.87788,1.37386,0.00107288,0.00107288,0.00107288
11,287.726,1.05215,1.06876,1.35651,0.67666,0.78063,0.79652,0.53504,1.09738,1.16235,1.39603,0.00100687,0.00100687,0.00100687
12,313.62,1.02979,1.0418,1.34318,0.83273,0.83624,0.90598,0.61869,1.01978,0.83895,1.32949,0.000940855,0.000940855,0.000940855
13,339.239,1.016,0.99203,1.32535,0.81812,0.80461,0.90107,0.60297,1.07614,0.90171,1.35707,0.000874842,0.000874842,0.000874842
14,364.705,1.02125,0.97692,1.3329,0.83257,0.77051,0.87009,0.59141,1.02214,0.91924,1.30758,0.000808828,0.000808828,0.000808828
15,390.272,0.9789,0.95601,1.31473,0.79591,0.87511,0.92124,0.63497,1.02262,0.81478,1.3146,0.000742815,0.000742815,0.000742815
16,436.589,0.93625,0.7662,1.35398,0.84064,0.819,0.89628,0.58599,1.06034,0.86639,1.343,0.000676802,0.000676802,0.000676802
17,461.756,0.91268,0.7157,1.33496,0.82513,0.88972,0.91532,0.63515,0.99787,0.83258,1.29968,0.000610789,0.000610789,0.000610789
18,486.714,0.86293,0.65592,1.29344,0.82465,0.86462,0.91958,0.64384,0.98022,0.76738,1.29187,0.000544776,0.000544776,0.000544776
19,511.862,0.84782,0.63077,1.27286,0.84052,0.88493,0.92333,0.64226,1.01923,0.73673,1.30306,0.000478762,0.000478762,0.000478762
20,537.47,0.80459,0.59073,1.24596,0.83966,0.87983,0.93328,0.66434,0.99264,0.68401,1.28246,0.000412749,0.000412749,0.000412749
21,562.522,0.77527,0.55532,1.22034,0.86723,0.85836,0.92208,0.65346,0.98834,0.71873,1.29007,0.000346736,0.000346736,0.000346736
22,587.538,0.76209,0.52904,1.21866,0.82993,0.89258,0.93495,0.64926,0.99365,0.70111,1.28445,0.000280723,0.000280723,0.000280723
23,613.097,0.74034,0.50537,1.19605,0.88349,0.85507,0.93727,0.67188,0.93871,0.67841,1.25115,0.00021471,0.00021471,0.00021471
24,638.947,0.72372,0.47802,1.17877,0.92346,0.86037,0.93705,0.6745,0.94279,0.64301,1.24683,0.000148696,0.000148696,0.000148696
25,664.855,0.68934,0.45107,1.15819,0.8849,0.90099,0.94152,0.68277,0.93729,0.65433,1.24124,8.26832e-05,8.26832e-05,8.26832e-05
